CSV Split Summary
=================

Date: 28-Jun-2026 23:44:38
Input file: data/legacy/original_csv/RUSS_24_VALID.CSV
Output directory: data/legacy/surveys/pending

Total surveys: 12578
Total rows: 11651703
Average rows per survey: 926
Time elapsed: 341.3 minutes

Survey file row counts:
-----------------------
F197065: 235 rows
F197068: 320 rows
F197069: 520 rows
F197070: 442 rows
F197076: 128 rows
F197078: 340 rows
F197081: 271 rows
F197083: 114 rows
F197087: 572 rows
F197090: 29 rows
F197092: 97 rows
F197093: 203 rows
F197365: 62 rows
F198002: 71 rows
F198005: 177 rows
F198009: 178 rows
F198010: 206 rows
F198012: 372 rows
F198017: 198 rows
F198020: 241 rows
F198021: 160 rows
F198022: 168 rows
F198025: 97 rows
F198026: 73 rows
F198029: 355 rows
F198031: 278 rows
F198032: 292 rows
F198040: 126 rows
F198043: 144 rows
F198044: 137 rows
F198049: 158 rows
F198050: 150 rows
F198051: 199 rows
F198052: 210 rows
F198056: 369 rows
F198057: 392 rows
F198061: 58 rows
F198063: 179 rows
F198064: 385 rows
F198068: 71 rows
F198069: 141 rows
F198073: 147 rows
F198074: 248 rows
F198075: 576 rows
F198076: 91 rows
F198080: 67 rows
F198081: 209 rows
F198083: 318 rows
F198084: 611 rows
F198086: 594 rows
F198087: 702 rows
F198089: 991 rows
F198352: 114 rows
F198353: 177 rows
F198357: 200 rows
F198365: 111 rows
F199004: 73 rows
F199006: 73 rows
F199007: 122 rows
F199019: 139 rows
F199020: 284 rows
F199022: 129 rows
F199027: 133 rows
F199028: 202 rows
F199029: 248 rows
F199034: 126 rows
F199036: 114 rows
F199037: 225 rows
F199043: 149 rows
F199046: 120 rows
F199047: 236 rows
F199048: 154 rows
F199054: 121 rows
F199056: 187 rows
F199057: 77 rows
F199061: 220 rows
F199071: 131 rows
F199075: 184 rows
F199077: 281 rows
F199082: 278 rows
F199083: 281 rows
F199088: 331 rows
F199337: 114 rows
F199339: 183 rows
F199342: 83 rows
F199343: 197 rows
F199345: 155 rows
F199346: 169 rows
F199351: 48 rows
F199354: 163 rows
F199355: 106 rows
F199360: 69 rows
F199361: 60 rows
F199362: 109 rows
F199364: 165 rows
F279011: 9 rows
F279033: 8 rows
F279037: 3 rows
F279045: 10 rows
F279072: 21 rows
F279088: 16 rows
F279120: 22 rows
F279123: 29 rows
F279131: 32 rows
F279165: 112 rows
F279173: 25 rows
F279186: 124 rows
F279192: 176 rows
F279199: 12 rows
F279208: 86 rows
F279239: 107 rows
F279250: 37 rows
F279255: 63 rows
F279285: 46 rows
F279303: 41 rows
F279309: 178 rows
F279312: 15 rows
F279319: 22 rows
F279323: 41 rows
F280054: 26 rows
